Instituto,Count
0,CIMAT,40
1,IMSS Unidad Médica de Alta Especialidad,4
2,UNITEC,1
3,Università degli Studi di Firenze,8
4,INAOE,255
5,University of Bologna,2
6,University of Alberta,1
7,University of Firenze,1
8,Universidad Autónoma de Nuevo León,1
9,University of Alabama at Birmingham,1
10,BUAP,45
11,Instituto Nacional de Rehabilitación,13
12,Universidad Autónoma Metropolitana (UAM),3
13,Universidad Popular Autónoma del Estado de Puebla (UPAEP),1
14,ITESA,4
15,University of Trento,2
16,CREATE-NET,8
17,IPN,16
18,Hospital General de Mexico “Dr. Eduardo Liceaga”,1
19,UNAM,12
20,Universidad Autónoma del Estado de México,4
21,BITS-Pilani,1
22,"Sanatorio Güemes, Buenos Aires 01188",1
23,Universidad Michoacana de San Nicolas de Hidalgo,1
24,"Western Sydney University, Kingswood",1
25,Instituto Nacional de Neurologia y Neurocirugia,2
26,University College of London,8
27,Universidad Autonoma del Estado de Mexico,4
28,CONACyT-CentroGeo,1
29,UNAM Juriquilla,2
30,Universidad Autonoma de San Luis Potosi,1
31,Universidad de Guanajuato,33
32,UMAE IMSS Leon,2
33,Universidad De Guanajuato,8
34,Hospital Universitario de Leipzig,4
35,Universidad de Leipzig,3
36,Instituto Tecnologico de León,1
37,Universidad de Juarez,1
38,Universidad de Calgary,2
39,Universidad de Houston,1
40,CINVESTAV-IPN,2
41,Universidad de las Americas,10
42,UPAERP,1
43,University of Liege,1
44,Holland Bloorview Kids Rehabilitation Hospital,1
45,Universidad de Guadalajara,6
46,Instituo Tecnologico de Aguascalientes,1
47,Università di Bologna,4
48,Universidad de Carabobo,1
49,Instituto Nacional de Neurología y Neurocirugía,6
50,CRATE-NET,2
51,Instituto Nacional de Enfermedades Respiratorias,2
52,Universisty College of London,1
53,Instituto Tecnologico de Culiacan,2
54,Instituto Tecnologico de Orizaba,1
55,IIMAS UNAM,18
56,Imperial College London,8
57,Fundacion de Asistencia Privada Conde de Valenciana,1
58,IAP,1
59,Asociación para Evitar la Ceguera en México I.A.P,3
60,UAM,3
61,Insitituto Nacional de Rehabilitacion,1
62,Centro Medico ABC,2
63,IMAGINA Laboratory DIMAp - UFRN,2
64,Hospital Civil de Guadalajara,2
65,Hospital Infantil de México,1
66,Universidad de Papaloapan,1
67,LNS-BUAP-CONACYT,2
68,Universidad Politecnica de Sinaloa,1
69,Laboratorios Clinicos de Puebla,1
70,IMSS,6
71,University of Texas,2
72,Universidad de Colombia,1
73,Georgia State University,1
74,Universidad Veracruzana,1
75,New Mexico Tech,2
76,Universidad Autonoma de Tlaxcala,1
77,Universidad De las Americas,1
78,Instituto de Investigaciones en Ecosistemas y Sustentabilidad UNAM,1
79,University of Pavia,1
80,UNiversidad de las Americas,1
81,University of Alcala,1
82,Instituto de Fisiología Celular Neurociencias UNAM,2
83,CICATA IPN,11
84,Széchenyi István University,1
85,Budapest University of Technology and Economics,1
86,CIC IPN,40
87,ENCB-IPN,1
88,Universite de Tulouse,1
89,Universite de Toulouse,1
90,ESIME IPN,2
91,ESCOM IPN,2
92,ITESM,1
93,University of Michigan,1
94,ENMH - IPN,1
95,CIDETEC IPN,14
96,University of Waterloo,1
97,Universidad Iberoamericana Puebla,1
98,Unidad Profesional Interdisciplinaria de Biotecnología IPN,2
99,Universidad Autónoma de Chihuahua,1
100,Universidad Mexiquense del Bicentenario,1
101,CIITEC IPN,1
102,Universidad Ciego de Ávila,1
103,Universidad Autonoma del Estado de Hidalgo,1
